City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Merritt Island,US,2021-01-06 18:49:46,28.5392,-80.672,66.99,52,1,9.17
159,Kollo,NE,2021-01-06 18:52:17,13.3043,2.339,93.2,7,0,6.93
160,Rosetta,EG,2021-01-06 18:51:31,31.4044,30.4164,66.2,82,40,6.93
161,Lugovoy,KZ,2021-01-06 18:52:17,42.9472,72.7644,6.08,84,84,1.92
162,Abu Kamal,SY,2021-01-06 18:42:55,34.4506,40.9171,53.98,41,100,1.77
163,Carnarvon,AU,2021-01-06 18:44:43,-24.8667,113.6333,82.4,69,97,9.17
164,Trenggalek,ID,2021-01-06 18:52:18,-8.05,111.7167,75.38,83,6,2.89
165,Vila,PT,2021-01-06 18:52:18,42.0304,-8.1588,33.01,87,0,4.0
166,Sorong,ID,2021-01-06 18:47:38,-0.8833,131.25,78.89,85,100,4.76
167,Star Dojran,MK,2021-01-06 18:52:19,41.1875,22.7208,55.99,85,90,4.36
168,Fortuna,US,2021-01-06 18:44:48,40.5982,-124.1573,54.0,87,75,24.16
169,Beringovskiy,RU,2021-01-06 18:47:13,63.05,179.3167,-15.52,86,15,9.1
170,Samarai,PG,2021-01-06 18:43:56,-10.6167,150.6667,82.45,78,100,11.14
171,Sabha,LY,2021-01-06 18:48:07,27.0377,14.4283,60.44,43,100,4.16
172,Pacific Grove,US,2021-01-06 18:42:12,36.6177,-121.9166,53.01,81,1,6.93
173,Newark,US,2021-01-06 18:49:01,40.7357,-74.1724,43.0,48,40,18.34
174,Komsomolskiy,UZ,2021-01-06 18:46:40,40.4272,71.7189,24.8,73,90,2.24
175,Sistranda,NO,2021-01-06 18:52:20,63.7256,8.834,24.8,79,20,16.11
176,Santa Isabel,BR,2021-01-06 18:50:30,-23.3156,-46.2214,89.6,45,0,10.29
177,Cabo San Lucas,MX,2021-01-06 18:47:13,22.8909,-109.9124,75.99,60,40,3.36
178,Torbay,CA,2021-01-06 18:49:02,47.6666,-52.7314,42.01,100,90,5.82
179,Linjiang,CN,2021-01-06 18:52:21,41.8069,126.9078,-5.4,77,100,8.12
180,Belvedere Marittimo,IT,2021-01-06 18:52:21,39.6179,15.8617,52.0,84,100,1.99
181,Zaysan,KZ,2021-01-06 18:42:39,47.4667,84.8667,-8.18,82,100,0.29
182,Lorengau,PG,2021-01-06 18:47:42,-2.0226,147.2712,81.84,76,100,4.21
183,East London,ZA,2021-01-06 18:45:00,-33.0153,27.9116,71.6,78,20,6.93
184,Taseyevo,RU,2021-01-06 18:52:22,57.2169,94.8978,-10.98,87,100,8.99
185,Port Macquarie,AU,2021-01-06 18:44:20,-31.4333,152.9167,66.99,99,100,1.99
186,Ponta Do Sol,PT,2021-01-06 18:45:22,32.6667,-17.1,63.0,93,75,4.7
187,Alice Springs,AU,2021-01-06 18:50:06,-23.7,133.8833,64.4,42,0,2.24
188,Pisco,PE,2021-01-06 18:47:38,-13.7,-76.2167,73.4,83,40,10.29
189,Yakeshi,CN,2021-01-06 18:52:23,49.2833,120.7333,-26.66,83,100,5.79
190,Charters Towers,AU,2021-01-06 18:52:23,-20.1,146.2667,74.86,91,99,9.24
191,Georgetown,MY,2021-01-06 18:46:39,5.4112,100.3354,79.0,88,40,4.85
192,Lebu,CL,2021-01-06 18:47:45,-37.6167,-73.65,62.28,66,0,17.47
193,Lockhart,US,2021-01-06 18:42:29,28.6194,-81.4426,68.0,42,1,3.31
194,Norman Wells,CA,2021-01-06 18:47:21,65.282,-126.8329,-14.8,68,90,6.93
